drink, Renegat, renegat, Wodka, 50 ml, Sok zurawinowy, 100 ml, Sok grejfrutowy, 50 ml, Grenadyna, 20 ml, Lod, Wszystkie skladniki wstrzasam w shakerze z kostkami lodu. Przecedzam do szklanki na lod, dekoruje pomarancza.
drink, Billie Jean, billie_jean, Wodka, 100 ml, Sok pomaranczowy, 30 ml, Blue curacao, 20 ml, Lod, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do trzech kieliszkow o pojemnosci 50 ml.
drink, Part-Time Lover, part_time_lover, Wodka, 50 ml, Grenadyna, 20 ml, Sok grejfrutowy, 150 ml, Tonik, do dopelnienia, Lod, Trzy pierwsze skladniki wstrzasam w shakerze z kostkami lodu. Przecedzam do szkianki na kostki lodu, dopelniam tonikiem, ewentualnie dekoruje polowa plasterka pomaranczy.
drink, White Russian, white_russian, Wodka, 50 ml, Likier kahlua, 30 ml, Smietanka do kawy, 20 ml, Lod, Dwa pierwsze skladniki wlewam do niskiej szklanki na lod, mieszam. Na wierzch nalewam smietanke.
drink, Black Russian, black_russian, Wodka, 70 ml, Likier kahlua, 30 ml, Lod, Skladniki wlewam do niskiej szklanki na lod, delikatnie mieszam.
drink, Samba De Janeiro, samba_de_janeiro, Blue curacao, 50 ml, Sok grejfrutowy, 150 ml, Wodka, 50 ml, Sok pomaranczowy, do dopelnienia, Lod, Pierwsze dwa skladniki wstrzasam w shakerze z kostkami lodu. Przeoedzam do szklanki na kostki lodu. Nastepnie delikatnie wlewam wodke i dopelniam sokiem pomaranczowym.
drink, Miami Vice, miami_vice, Wodka, 50 ml, Grenadyna, 15 ml, Sok z czarnej porzeczki, 150 ml, Tonik, do dopelnienia, Lod, Trzy piennsze skladniki wstrzasam z lodem w shakerze. Przecedzam do szklanki na lod, dopelniam tonikiem.
drink, Private Dancer, private_dancer, Wodka, 50 ml, Blue curacao, 30 ml, Sok z cytryny, z cwiartki, Sprite, do dopelnienia, Lod, Trzy pierwsze skladniki wstrzasam w shakerze z kostkami lodu. Przecedzam do szklanki na lod, dopelniam Spritem.
drink, Krwawa Mary, krwawa_mary, Wodka, 40 ml, Sok z cytryny 15 ml, Sos worcestershire, kilka kropli, Tabasco, kilka kropli, Sok pomidorowy, do uzupelnienia, Sol selerowa,,Pieprz,,Lod, Do szklanki na lod wlewam wodke, sok z cytryny, sok pomidorowy, doprawiam sosami i przyprawami i mieszam. Mozna udekorowac selerem naciowym.
drink, Teraz Polska, teraz_polska, Syrop malinowy, 15 ml, Wodka, 15 ml, Sok z cytryny, kilka kropli, Lod,Do kieliszka wlewam syrop malinowy, nastepnie wlewam delikatnie wodke, dodaje kilka kr0pli soku z cytryny. 
drink, Daiquiri, daiquiri, Bialy rum, 40 ml, Sok z limonki, 20 ml, Syrop cukrowy, 5 ml, Lod, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego.
drink, Sex On The Beach, sex_on_the_beach, Wodka, 40 ml, Likier brzoskwiniowy, 20 ml, Sok pomaranczowy, 40 ml, Sok zurawinowy, 40 ml, Lod, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do szklanki z kostkami lodu, dekoruje pomarancza i wisienka koktajlowa.
drink, Cosmopolitan, cosmopolitan, Wodka cytrynowa, 40 ml, Likier triple sec, 15 ml, Sok z cytryny, 15 ml, Sok zurawinowy, 30 ml, Lod, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego.
drink, Margarita, margarita, Srebna tequila, 40 ml, Likier triple sec, 20 ml, Sok z cytryny, 15 ml, Sol i sok z cytryny, do zrobienia crusty, Lod, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego, ktory wczesniej udekorowalam crustaz soku z cytryny i soli.
drink, Tequila Sunrise, tequila_sunrise, Srebna tequila, 40 ml, Sok pomaranczowy, do uzupelniania, Grenadyna, lyzka, Lod, Do szklanki na lod wlewam tequile, dodaje sok pomaranczowy, mieszam lyzka. Dodaje grenadyne, ktora powinna opasc na dno. Dekoruje plasterkiem pomaranczy.
drink, Long Island Iced Tea, long_island_iced_tea, Wodka, 20 ml, Srebna tequila, 20 ml, Bialy rum 20 ml, Gin, 20 ml, Likier triple sec, 20 ml, Syrop cukrowy, 20 ml, Sok z cytryny, 40 ml, Cola, do uzupelnienia, Lod, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do wysokiej szklanki z kostkami lodu, uzupelniam cola i dekoruje plasterkiem cytryny.
kladniki wstrzasam w shakerze z lodem. Przecedzam do wysokiej szklanki z kostkami lodu, uzupelniam cola i dekoruje plasterkiem cytryny.
