typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje
shot, Winter Winds, winter_winds, Malibu, 50 ml, Sok bananowy, 50 ml, Syrop czekoladowy, 50 ml,,,,,,,,,,,aaa
shot, After Eight, after_eight, Syrop czekoladowy, jedna czwarta, Likier mietowy, jedna druga, Mleczko skondensowane nieslodzone, jedna czwarta,,,,,,,,,,,aaa
shot, O-Cookie Shot, o_cookie_shot,Syrop czekoladowy, jedna trzecia, Bialy rum , jedna trzecia, Mleczko skondensowane nieslodzone, Syrop czekoladowy, do dekoracji, Starta czekolada, do dekoracji,,,,,,,,aaa
shot, Palermo, palermo, Likier korzenno-miodowy, 50 ml, Sok z mango, 100 ml, Sok z cytryny, do dekoracji, Cukier, do doekoracji,,,,,,,,,aaa
shot, BCC, bcc, Blue curacao, 5 ml, Wodka cytrynowa, 25 ml,,,,,,,,,,,,,aaa
shot, Tacoma, tacoma, Wodka gruszkowa, 50 ml, Sok wisniowy, 70 ml, Sok z cytryny, 20 ml,,,,,,,,,,,aaa
shot Pasadena, pasadena, Wodka pomaranczowa, 70 ml, Sok ananasowy, 50 ml, Sok z mango, 100 ml,,,,,,,,,,,,aaa
shot, Charlotte, charlotte, Likier korzenno-miodowy, 50 ml, Likier kahlua, 50 ml, Mleczko skondensowane nieslodzone, 50 ml, Krem czekoladowy, do dekoracji,,,,,,,,,aaa
shot, Talizman, talizman, Zubrowka, 50 ml, Malibu, 30 ml, Sok z mango, 70 ml, Sok z cytryny, 10 ml, Syrop mango, do dekoracji, Kakao, do dekoracji,,,,,aaa
shot, Fargo, fargo, Blue curacao, 20 ml, Likier korzenno-miodowy, 50 ml, Sok jablkowy, 100 ml,,,,,,,,,,,aaa
shot, Pueblo, pueblo, Wodka pomaranczowa, 50 ml, Sok pomaranczowy, 50 ml, Sok ananasowy, 50 ml, Syrop mango, 20 ml,,,,,,,,,aaa
shot, Radioactive, radioactive, Likier cointreau, 100 ml, Mleczko skondensowane nieslodzone, 50 ml,Blue curacao, 20 ml,,,,,,,,,,,aaa
shot, No Roots, no_roots, Wodka orzech laskowy, 50 ml, Likier czekoladowy, 20 ml, Mleczko skondensowane nieslodzone, 30 ml, Syrop czekoladowe i zmielone orzechy, do dekoracji,,,,,,,,,aaa
shot, Alimos, alimos, Tequila silver, 30 ml, Blue curacao, 40 ml, Sok bananowy, 50 ml, Sok ananasowy, 50 ml,,,,,,,,,aaa
shot, In My Blood, in_my_blood, Wodka grejfrutowa, 50 ml, Sok zurawinowy, 70 ml, Grenadyna, 10 ml, Sok z cytryny, 10 ml,,,,,,,,,aaa
shot, Arezzo, arezzo, Likier kahlua, 50 ml, Mleczko skondensowane nieslodzone, 50 ml, Syrop korzenny, 10 ml,,,,,,,,,,,aaa
shot, Flames, flames, Likier cointreau, 50 ml, Likier amaretto, 20 ml, Sok wisniowy, 80 ml, Sok z cytryny, 10 ml,,,,,,,,,aaa
shot, Belluno, belluno, Malibu, 50 ml, Sok z granatu, 50 ml, Sok pomaranczowy, 50 ml,,,,,,,,,,,aaa
shot, Como, como, Tequila silver, 50 ml, Blue curacao, 30 ml, Sok pomaranczowy, 100 ml,,,,,,,,,,,aaa
shot, Demons, demons, Wodka gruszkowa, 50 ml, Wodka , 50 ml, Sok pomaranczowy, 100 ml,,,,,,,,,,,aaa
shot, One Kiss, one_kiss, Wodka malinowa, 50 ml, Rum, 50 ml, Sok z granatu, 50 ml,,,,,,,,,,,aaa
shot, Be Mine, be_mine, Blue curacao, 50 ml, Wodka gruszkowa, 50 ml, Sok pomaranczowy, 50 ml,,,,,,,,,,,aaa
shot, Coming Home, coming_home, Gin, 50 ml, Wodka cytrynowa, 50 ml, Sok zurawinowy, 100 ml, cukier i grenadyna lub syrop malinowy, do dekoracji,,,,,,,,,aaa
shot, Bella, bella, Zubrowka, 50 ml, Sok bananowy, 70 ml, Syrop mango, 20 ml, Syrop mango i kakao, do dekoracji,,,,,,,,,aaa
shot, Titanium, titanium, Wodka, 70 ml, Sok ananasowy, 70 ml, Syrop mango, 20 ml,,,,,,,,,,,aaa
shot, Despacito, despacito, Wodka cytrynowa, jedna druga, Blue curacao, jedna druga, cukier, do dekoracji,,,,,,,,,,,aaa
shot, Lost On You, lost_on_you, Wodka gruszkowa, 50 ml, Malibu, 30 ml, Sok zurawinowy, 50 ml, Sok z cytryny, 20 ml,,,,,,,,,aaa
shot, Sky, sky, Gin, 75 ml, Sok z cytryny, 25 ml, Blue curacao, 25 ml,,,,,,,,,,,aaa
shot, Sleep, sleep, Wodka truskawkowa, 50 ml, Wodka, 20 ml, Sok z mango, 80 ml, Grenadyna lub syrop truskawkowy oraz cukier, do dekoracji,,,,,,,,,aaa
shot, Zielone Wzgorza, zielone_wzgorza, Gin, 50 ml, Likier mietowy, 50 ml, Sok z cytryny, 50 ml,,,,,,,,,,,aaa
shot, Elastic Heart, elastic_heart, Wodka ananasowa, 80 ml, Sok zurawinowy, 50 ml, Grenadyna, 10 ml, Sok z cytryny, 10 ml,,,,,,,,,aaa
shot, Heart Of Glass, heart_of_glass, Zubrowka, 50 ml, Sok bananowy, 80 ml, Blue curacao, 20 ml,,,,,,,,,,,aaa
shot, Proud Mary, proud_mary, Wodka, 50 ml, Likier brzoskwiniowy, 50 ml, Sok zurawinowy, 50 ml,,,,,,,,,,,aaa
shot, Place On Earth, place_on_earth, Zubrowka, 50 ml, Sok pomaranczowy, 70 ml, Syrop imbirowy, 20 ml,,,,,,,,,,,aaa
shot, Trapped, trapped, Gin, 20 ml, Blue curacao, 50 ml, Sok z cytryny, 50 ml, Syrop mango, 20 ml,,,,,,,,,aaa
shot, Monte, monte, Wodka o smaku orzechow laskowych, jedna druga, Mleczko skondensowane nieslodzone, jedna druga, Syrop orzechowy i starta czekolada, do dekoracji,,,,,,,,,,,aaa
shot, Salem, salem, Zubrowka, 50 ml, Sok jablkowy, 70 ml, Syrop kolorowy i cynamon, do dekoracji,,,,,,,,,,,aaa
shot, Ananasowe Kamikaze, ananasowe_kamikaze, Wodka ananasowa, 40 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Lod,,,,,,,,,,aaa
shot, Conga, conga, Wodka porzeczkowa, 50 ml, Gin, 50 ml, Sok z cytryny, 10 ml, Sok pomaranczowy, 40 ml, Lod,,,,,,,,aaa
shot, Bones Of Love, bones_of_love, Wodka ananasowa, 40 ml, Malibu, 20 ml, Sok ananasowy, 60 ml, Lod,,,,,,,,,,aaa
shot, Tiramisu, tiramisu, Likier kahlua, 80 ml, Likier baileys, 40 ml, Mleczko skondensowane nieslodzone, 40 ml, Likier migdalowy, 10 ml, Syrop migdalowy i zmielona kawa, do dekoracji,,,,,,,aaa
shot, Bamboleo, bamboleo, Wodka, 50 ml, Blue curacao, 30 ml, Sok pomaranczowy, 50 ml, Sok z cytryny, 10 ml, Blue curacao, kilka kropli, Lod,,,,,,aaa
shot, Hold The Line, hold_the_line, Wodka truskawkowa, 50 ml, Wodka pomaranczowa, 50 ml, Sok pomaranczowy, 50 ml, Sok z cytryny, 10 ml, Lod, Sos truskawkowy i kakao, do dekoracji,,,,,,aaa
shot, Take It Easy, take_it_easy, Wodka sliwkowa, 50 ml, Wodka, 50 ml, Sok z cytryny, 50 ml, Grenadyna, 20 ml,,,,,,,,,aaa
shot, Rabiosa, rabiosa, Wodka, 50 ml, Likier mietowy, 50 ml, Sok z cytryny, 50 ml,,,,,,,,,,,aaa
shot, Endless Summer, endless_summer, Wodka truskawkowa, 50 ml, Sok z cytryny, 40 ml, Sok bananowy, 70 ml,,,,,,,,,,,aaa
shot, Paper Planes, paper_planes, Malibu, 50 ml, Blue curacao, 20 ml, Sok ananasowy, 80 ml, Sok z cytryny, 20 ml, Lod,,,,,,,,aaa
shot, Bang A Drum, bang_a_drum, Wodka ananasowa, 50 ml, Malibu, 50 ml, Likier cointreau, 50 ml, Sok bananowy, 30 ml,,,,,,,,,aaa
shot, Dead Or Alive, dead_or_alive, Wodka truskawkowa, 50 ml, Malibu, 20 ml, Sok zurawinowy, 50 ml, Sok z cytryny, 20 ml, Lod,,,,,,,,aaa
shot, One More Song, one_more_song, Wodka porzeczkowa, 50 ml, Tequila silver, 50 ml, Sok z cytryny, 50 ml,,,,,,,,,,,aaa
shot, Shake It, shake_it, Wodka cytrynowa, 50 ml, Blue curacao, 10 ml, Sok pomaranczowy, 50 ml, Sok bananowy, 30 ml,,,,,,,,,aaa
shot, Sunrise XS, sunrise_xs, Wodka, jedna druga, Sok pomaranczowy, jedna druga, Grenadyna, kilka kropli,,,,,,,,,,,aaa
shot, Acapulco, acapulco, Likier czekoladowy, 50 ml, Likier kahlua, 50 ml, Sok bananowy, 50 ml,,,,,,,,,,,aaa
shot, Blue Stories, blue_stories, Blue curacao, 50 ml, Likier baileys, 40 ml, Mleczko skondensowane nieslodzone, 40 ml, Wodka, 50 ml,,,,,,,,,aaa
shot, Blue Kamikaze, blue_kamikaze_shoty, Wodka, 40 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Lod,,,,,,,,,,aaa
dodatek, Jak Zrobic Cruste, jak_zrobic_cruste,,,,,,,,,,,,,,,,,aaa
shot, Smak Raju, smak_raju, Malibu, 100 ml, Mleczko skondensowane nieslodzone, 40 ml, Likier czekoladowe, 30 ml, Syrop czekoladowe i kakao,,,,,,,,,,aaa
shot, Jump, jump, Wodka pomaranczowa, 70 ml, Malibu, 50 ml, Sok pomaranczowy, 30 ml, Krem czekoladowy, do dekoracji,,,,,,,,,aaa
