shot, Demons, demons, Wodka gruszkowa, 50 ml, Wodka , 50 ml, Sok pomaranczowy, 100 ml, start, Wszystkie skladniki wstrzasamy w shakerze. Przelewamy do kieliszkow.
shot, Be Mine, be_mine, Blue curacao, 50 ml, Wodka gruszkowa, 50 ml, Sok pomaranczowy, 50 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Coming Home, coming_home, Gin, 50 ml, Wodka cytrynowa, 50 ml, Sok zurawinowy, 100 ml, cukier i grenadyna lub syrop malinowy, do dekoracji, start, Na brzegach kieliszkow robimy cruste z cukru i grenadyny lub syropu malinowego. Wszystkie skladniki drinka wstrzasamy w shakerze i przelewamy do kieliszkow. 
shot, Bella, bella, Zubrowka, 50 ml, Sok bananowy, 70 ml, Syrop mango, 20 ml, Syrop mango i kakao, do dekoracji, start, Na brzegu kieliszkow robimy cruste z syropu mango i kakao. Wszystkie skladniki shotow wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Titanium, titanium, Wodka, 70 ml, Sok ananasowy, 70 ml, Syrop mango, 20 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Despacito, despacito, Wodka cytrynowa, jedna druga, Blue curacao, jedna druga, cukier, do dekoracji, start, Na brzegu kieliszka robimy cruste z cukru i syropu blue curacao. Wodke i likier wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Lost On You, lost_on_you, Wodka gruszkowa, 50 ml, Malibu, 30 ml, Sok zurawinowy, 50 ml, Sok z cytryny, 20 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Sky, sky, Gin, 75 ml, Sok z cytryny, 25 ml, Blue curacao, 25 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Sleep, sleep, Wodka truskawkowa, 50 ml, Wodka, 20 ml, Sok z mango, 80 ml, Grenadyna lub syrop truskawkowy oraz cukier, do dekoracji, start,Na brzegu kieliszkow robimy cruste z syropu i cukru. Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Zielone Wzgorza, zielone_wzgorza, Gin, 50 ml, Likier mietowy, 50 ml, Sok z cytryny, 50 ml, start, Wszystkie skladniki wstrzasamy w shakerze, przelewa my do kieliszkow.
shot, Elastic Heart, elastic_heart, Wodka ananasowa, 80 ml, Sok zurawinowy, 50 ml, Grenadyna, 10 ml, Sok z cytryny, 10 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Heart Of Glass, heart_of_glass, Zubrowka, 50 ml, Sok bananowy, 80 ml, Blue curacao, 20 ml, start, Wszystkie skladni ki wstrzasa my w shakerze. Przelewa my do kieliszkow.
shot, Proud Mary, proud_mary, Wodka, 50 ml, Likier brzoskwiniowy, 50 ml, Sok zurawinowy, 50 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Place On Earth, place_on_earth, Zubrowka, 50 ml, Sok pomaranczowy, 70 ml, Syrop imbirowy, 20 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Trapped, trapped, Gin, 20 ml, Blue curacao, 50 ml, Sok z cytryny, 50 ml, Syrop mango, 20 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Salem, salem, Zubrowka, 50 ml, Sok jablkowy, 70 ml, Syrop kolorowy i cynamon, do dekoracji, start,Na brzegu kieliszka robimy cruste z cynamonu i syropu. Skladniki shota wstrzasamy w shakerze i przelewa my do kieliszkow. 
