typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje,
drink, Eye Of The Tiger, eye_of_the_tiger, Sok pomaranczowy, 100 ml, Grenadyna, 40 ml, Gin, 50 ml, Sok z cytryny, 40 ml, Sok grejfrutowy, 150 ml, Plasterek grejpfruta, do dekoracji, Lod,,,, Dwa pienrwsze skladniki wstrzasam w shakerze bez lodu. Przecedzam do wysokiej szklanki na lod. Nastepnie wstrzasam trzy kolejne skladniki... takze bez lodu i przelewam delikatnie... po lyzce... tak zeby utworzyly sie warstwy. Dekoruje plasterkiem grejpfrut.,
drink, Joyride, joyride, Gin, 50 ml, Sok zurawinowy, 50 ml , Sok pomaranczowy, 100 ml, Grenadyna, 10 ml, pomarancza, do dekoracji, karambola, do dekorajci, Lod,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do szklanki na lod... dekoruje plasterkiem karamboli i pomaranczy.,
drink, Twin Peaks, twin_peaks, Gin, 50 ml, Sok grejfrutowy, 50 ml, Blue curacao, 15 ml , Lod,,,,,,,,,, Gin i sok wstrzasam w shakerze z lodem. Do kieliszkow nalewam syrop blue curacao... a nastepnie kazdy uzupelniam zawartoscia shaker.,
drink, Wind Of Change, wind_of_change,Gin, 50 ml, Grenadyna, 20 ml, Sok pomaranczowy, 150ml, Sok z cytryny, 20 ml , Pomarancza i miechunka, do dekoracji,Lod,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do wysokiej szklanki na lod... dekoruje pomarancza i miechunk.,
drink, Touch Me, touch_me, gin, 50 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Sprite, do dopelnienia, plasterek pomaranczy, do dekoracji, lod,,,,,, Wszystkie skladniki poza Spritem wstrzasom w shakerze z lodem. Przecedzam do szklanki na lod... dopelniam Spritem... a do srodka wrzucam pol plasterka pomaranczy.,
drink, Nosferatu, nosferatu,Sok grejfrutowy, 100 ml, Syrop cukrowy, 30 ml , Gin, 50 ml, Sok z cytryny, 30 ml, Sok z czarnej porzeczki, 50 ml, Lod,,,,,, Dwa pierwsze skladniki wstrzasam w shakerze bez lodu. Przecedzam do wysokiej szklanki na lod. Nastepnie wstrzasam w shakerze trzy kolejne skladniki... takze bez lodu i przelewam delikatnie... po lyzce... tak zeby utworzyly sie warstwy. Dekoruje plasterkiem grejpfrut.,
drink, Oldfield, oldfield, Gin, 50 ml, Blue curacao, 20 ml, Sok pomaranczowy, 150 ml , Sok z cytryny, cwiartka, czastka cytryny, do dekoracji, Lod,,,,,, Wszystkie skladniki wstrzasom w shakerze z kostkami lodu. Przecedzam do szklanki na Lod... dodaje do srodka czastke cytryny.,
drink, Blue Pina Colada, blue_pina_colada, Bialy rum, 100 ml, Blue curacao, 20 ml, Mleczko skondensowane, 70 ml, Sok ananasowy, 200 ml, Syrop kokosowy, 20 ml , Lod,,,,,, Wszystkie skladniki wlewam do shakera i dodaje 2-3 kostki lodu. Dlugo i energicznie mieszam... zeby mleczko sie spienilo... a skladniki polaczyly. Przeoedzam cala zawartosc shakera... razem z lodem do szklanki. Dekoruje ananasem.,
drink, Easy Lover, easy_lover, Bialy rum, 100 ml, Sok pomaranczowy, 50 ml, Syrop malinowy, kilka kropli, Lod,,,,,,,,,, Rum i sok pomaranczowy wstrzasam w shakerze z lodem. Przecedzam do kieliszkow... do kazdego dodaje po kilka kropli syropu.,
drink, One Of Us, one_on_us, Bialy rum, 50 ml, Syrop malinowy, 10 ml, Plasterki pomaranczy, dwie sztuki, Sprite, Lod,,,,,,,,, Do szklanki wrzucam pomarancze pokrojona w polplasterki... dodaje syrop malinowy i ugniatam... zeby pomarancza puscila sok. Dodaje rum... kruszony lod... mieszam delikatnie lyzka i uzupelniam Spritem.,
drink,Armageddon, armageddon,Baly rum, 50 ml, Malibu, 30 ml, Grenadyna, 20 ml, Sok z mango, 100 ml, Sok pomaranczowy, 100 ml, Sok z cytryny, 25 ml, Lod,,,, Cztery pienwsze skladniki mieszam w shakerze bez lodu. Przecedzam do duzej szklanki wypelnionej lodem. Nastepnie sok pomaranczowy i sok z cytryny tez mieszam w shakerze bez lodu i delikatnie wlewam do szklanki... najlepiej po odwroconej lyzce... zeby utworzyc druga warstwe. Dekoruje pomarancz.,
drink,Ground Zero, ground_zero, Blue curacao, 25 ml, Sok z mango, 100 ml, Bialy rum, 50 ml, Syrop cukrowy, 25 ml, Sok z cytryny, 25ml, Sk wisniowy, 100 ml, Lod,,,, Na dno szklanki wypelnionej lodem wlewam syrop blue curacao. Nastepnie w shakerze bez lodu mieszam sok z mango... rum i syrop cukrowy. Delikatnie po odwroconej lyzce wlewam zawartosc shakera do szklanki. Sok z cytryny i sok wisniowy mieszam bez lodu w shakerze... przelewam delikatnie do szklanki... zeby utworzyc trzecia warstwe. Dekoruje pomarancza... wisienka koktajlowa i miet.,
drink,Gangsta's Paradise, gangstas_paradise, Bialy rum, 50 ml, Malibu, 30 ml, Sok z czarnej porzeczki, 150 ml, Sok pomaranczowy, 150 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do duzej szklanki... dekoruje pomarancza i wisienka koktajlow.,
drink, Zar Tropikow, zar_tropikow, Grenadyna, 20 ml, Bialy rum, 50 ml, Blue curacao, 50 ml, Sok pomaranczowy, 300 ml, Lod,,,,,,,, Do szklanki wrzucam duzo kostek lodu. Wlewam grenadyne na dno. Nastepnie delikatnie po lyzce wlewam sok pomaranczowy. Rum oraz blue curacao mieszam w shakerze bez lodu. Zawartosc shakera wlewam do szklanki... tez delikatnie... po lyzce... zeby utworzyc trzecia warstwe. Dekoruje ananasem i pomarancz.,
drink, Dirty Dancing, dirty_dancing, Bialy rum, 50 ml, Sok z cytry, 50 ml, Grenadyna, 30 ml, Sprite, Plasterek cytryny, do dekoracji, Lod,,,,,,, Trzy pienrvsze skladniki mieszam w shakerze z lodem. Przecedzam do szklanki na lod... dopelniam Spritem... a do srodka wrzucam pol plasterka cytryny.,
