typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje,
drink, Step By Step, step_by_step, Wodka, 50 ml, Blue curacao, 15 ml, Pomarancza, dwa plastry, Tonik,do dopelnienia,Lod,,,,,,,, Do szklanki wrzucam pomarancze pokrojona w polplasterki... wlewam syrop oraz wodke i rozgniatam pomarancze... zeby puscila sok. Dodaje kostki lodu... uzupelniam drink tonikiem.,
drink, Stand By Me, stand_by_me, Wodka, 50 ml, Sok wisniowy, 150 ml, Sok z cytryny, 20 ml, Sok pomaranczowy, 50 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem.Przecedzam do wysokiej szklanki... dekoruje plasterkiem pomaranczy.,
drink, Little Rock, little_rock, Wodka,50 ml, Wodka cytrynowa, 50 ml, Sok grejfrutowy, 50 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do trzech kieliszkow po 50 ml lub kilku mniejszych.,
drink, Pigwowe Kamikaze, pigwowe_kamikaze, Wodka pigwowa, 40 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasem w shakerze z lodem. Przecedzam do trzech kieliszkow po 40 ml.,
drink, Walk Of Life, walk_of_life, Wodka, 50 ml, Syrop malinowy, 20 ml, Sok wisniowy, 100 ml, Tonik, do dopelnienia, Lod,,,,,,,, Trzy pierwsze skladniki wstrzasem w shakerze z lodem. Przecedzam do wysokiej szklanki na lod... uzupelniam tonikiem i dekoruje wisienka koktajlow.,
drink, Coco Extazy, coco_extazy, Blue curacao, 70 ml, Wodka, 40 ml, Malibu, 40 ml, Sok ananasowy, 150 ml, Lod,,,,,,,, Do wysokiej szklanki wrzucam kostki lodu... wlewam syrop blue curacao. Delikatnie po kostkach lodu wlewam sok ananasowy... zeby nie zmieszal sie z syropem. Wodke... likier blue curacao i Malibu mieszam w shakerze bez lodu... a nastepnie delikatnie... po lyzce wylewam na wierzch drinka. Powinny utworzyc sie trzy warstwy. Dekoruje ananasem.,
drink, Cast Away, cast_away, Wodka cytrynowa, 50 ml, Sok grejfrutowy, 100 ml, Sok jablkowy, 50 ml, Blue curacao, 20 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do szklanki na lod... dekoruje pomarancza i wisienka koktajlow.,
drink, Costa Mesa(zawsze w sercu) , costa_mesa, Blue curacao, 20 ml, Sok pomaranczowy, 100 ml, Wodka, 50 ml, Syrop cukrowy, 25 ml, Sok z cytryny, 75 ml, Wodka, 50 ml, Grenadyna, 20 ml, Lod,, Zaczynam od wlania na spod szklanki z lodem syropu blue curacao. Nastepnie sok pomaranczowy... syrop cukrowy i 50 ml wodki mieszam w shakerze bez lodu. Przecedzam delikatnie do szklanki na lod... po odwroconej lyzce lub po sciankach szklanki... zeby utworzyc druga warstwe. Ostatnie trzy skladniki takze wstrzasam w shakerze bez lodu i przelewam delikatnie do szklanki... zeby powstala trzecia warstw.,
drink, La Bamba, la_bamba, Sok pomaranczowy, 100 ml, Syrop cukrowy, 20 ml, Sok z czarnej porzeczki, 200 ml, Sok z cytryny, 30 ml, Wodka, 100 ml, Owoce, do dekoracji, Lod,,,, Dwa pienrwsze skladniki wstrzasam w shakerze bez lodu... przelewam do wysokiej szklanki na lod. Nastepnie trzy kolejne skladniki takze wstrzasom w shakerze bez lodu. Przecedzam delikatnie do szklanki... po odwroconej lyzce... zeby utworzyly sie warstwy. Dekoruje owocami.,
drink, Renegat, renegat, Wodka, 50 ml, Sok zurawinowy, 100 ml, Sok grejfrutowy, 50 ml, Grenadyna, 20 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z kostkami lodu. Przecedzam do szklanki na lod... dekoruje pomarancz.,
drink, Billie Jean, billie_jean, Wodka, 100 ml, Sok pomaranczowy, 30 ml, Blue curacao, 20 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do trzech kieliszkow o pojemnosci 50 ml.,
drink, Part-Time Lover, part_time_lover, Wodka, 50 ml, Grenadyna, 20 ml, Sok grejfrutowy, 150 ml, Tonik, do dopelnienia, Lod,,,,,,,, Trzy pierwsze skladniki wstrzasam w shakerze z kostkami lodu. Przecedzam do szkianki na kostki lodu... dopelniam tonikiem... ewentualnie dekoruje polowa plasterka pomaranczy.,
drink, White Russian, white_russian, Wodka, 50 ml, Likier kahlua, 30 ml, Smietanka do kawy, 20 ml, Lod,,,,,,,,,, Dwa pierwsze skladniki wlewam do niskiej szklanki na lod... mieszam. Na wierzch nalewam smietanke.,
drink, Black Russian, black_russian, Wodka, 70 ml, Likier kahlua, 30 ml, Lod,,,,,,,,,,,, Skladniki wlewam do niskiej szklanki na lod... delikatnie mieszam.,
drink, Samba De Janeiro, samba_de_janeiro, Blue curacao, 50 ml, Sok grejfrutowy, 150 ml, Wodka, 50 ml, Sok pomaranczowy, do dopelnienia, Lod,,,,,,,, Pierwsze dwa skladniki wstrzasam w shakerze z kostkami lodu. Przeoedzam do szklanki na kostki lodu. Nastepnie delikatnie wlewam wodke i dopelniam sokiem pomaranczowym.,
drink, Miami Vice, miami_vice, Wodka, 50 ml, Grenadyna, 15 ml, Sok z czarnej porzeczki, 150 ml, Tonik, do dopelnienia, Lod,,,,,,,, Trzy piennsze skladniki wstrzasam z lodem w shakerze. Przecedzam do szklanki na lod... dopelniam tonikiem.,
drink, Private Dancer, private_dancer, Wodka, 50 ml, Blue curacao, 30 ml, Sok z cytryny, z cwiartki, Sprite, do dopelnienia, Lod,,,,,,,, Trzy pierwsze skladniki wstrzasam w shakerze z kostkami lodu. Przecedzam do szklanki na lod... dopelniam Spritem.,
drink, Krwawa Mary, krwawa_mary, Wodka, 40 ml, Sok z cytryny 15 ml, Sos worcestershire, kilka kropli, Tabasco, kilka kropli, Sok pomidorowy, do uzupelnienia, Sol selerowa,,Pieprz,,Lod,,, Do szklanki na lod wlewam wodke... sok z cytryny... sok pomidorowy... doprawiam sosami i przyprawami i mieszam. Mozna udekorowac selerem naciowym.,
drink, Teraz Polska, teraz_polska, Syrop malinowy, 15 ml, Wodka, 15 ml, Sok z cytryny, kilka kropli, Lod,,,,,,,,,,Do kieliszka wlewam syrop malinowy... nastepnie wlewam delikatnie wodke... dodaje kilka kropli soku z cytryny.,
drink, Daiquiri, daiquiri, Bialy rum, 40 ml, Sok z limonki, 20 ml, Syrop cukrowy, 5 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego.,
drink, Sex On The Beach, sex_on_the_beach, Wodka, 40 ml, Likier brzoskwiniowy, 20 ml, Sok pomaranczowy, 40 ml, Sok zurawinowy, 40 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do szklanki z kostkami lodu... dekoruje pomarancza i wisienka koktajlow.,
drink, Cosmopolitan, cosmopolitan, Wodka cytrynowa, 40 ml, Likier triple sec, 15 ml, Sok z cytryny, 15 ml, Sok zurawinowy, 30 ml, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego.,
drink, Margarita, margarita, Srebna tequila, 40 ml, Likier triple sec, 20 ml, Sok z cytryny, 15 ml, Sol i sok z cytryny, do zrobienia crusty, Lod,,,,,,,, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego... ktory wczesniej udekorowalam crustaz soku z cytryny i soli.,
drink, Tequila Sunrise, tequila_sunrise, Srebna tequila, 40 ml, Sok pomaranczowy, do uzupelniania, Grenadyna, lyzka, Lod,,,,,,,,,, Do szklanki na lod wlewam tequile... dodaje sok pomaranczowy... mieszam lyzka. Dodaje grenadyne... ktora powinna opasc na dno. Dekoruje plasterkiem pomaranczy.,
drink, Long Island Iced Tea, long_island_iced_tea, Wodka, 20 ml, Srebna tequila, 20 ml, Bialy rum 20 ml, Gin, 20 ml, Likier triple sec, 20 ml, Syrop cukrowy, 20 ml, Sok z cytryny, 40 ml, Cola, do uzupelnienia, Lod, Wszystkie skladniki wstrzasam w shakerze z lodem. Przecedzam do wysokiej szklanki z kostkami lodu... uzupelniam cola i dekoruje plasterkiem cytryny.,
drink, Martini, martini, Gin, 50 ml, Wermut, 15 ml, Oliwki,,Lod,,,,,,,,,, Skladniki wstrzasam w shakerze z lodem. Przecedzam do kieliszka koktajlowego i dekoruje oliwkami.,
drink, Mojito, mojito,Bialy rum, 40 ml, Limonka, pol sztuki, Cukier brazowy, 2 lyzeczki, Mieta, kilka listkow, Woda gazowana, do dopelnienia, Lod,,,,,, Limonke kroje na 6 czesci... umieszczam je w szklance... zasypuje cukrem i ugniatam... zeby limonka puscila sok. Dodaje listki miety i ponownie chwile ugniatam. Dodaje rum... kruszony lod i delikatnie mieszam lyzka. Dopelniam wodagazowana... dekoruje miet.,
drink, Wsciekly Pies, wsciekly_pies, Wodka, 20 ml, Syrop malinowy, 10 m, Tabasco, kilka kropli,,,,,,,,,,, Do kieliszka wlewam syrop malinowy i w drugiej kolejnosci wodke. Dodaje kilka kropli tabasco.,
drink, Pina Colada, pina_colada, Bialy rum, 30 ml, Mleczko skondensowane nieslodzone, 20 ml, Syrop kokosowy, 20 ml, Sok ananasowy, 90 ml, Lod,,,,,,,, Skladniki wraz z kruszonym lodem wstrzasam w shakerze i przelewam cala zawartosc do duzej szklanki. Dekoruje ananasem.,
dodatek, Domowy Syrop Cukrowy, domowy_syrop_cukrowy, Bialy cukier, szklanka, Wrzatek, szklanka,,,,,,,,,,,,, Cukier zalewam wrzatkiem i mieszam tak dlugo... az sie rozpusci. Przelewam do butelki... w razie potrzeby przechowuje przez kilka dni w lodowce.,
drink, Cuba Libre, cuba_libre, Bialy rum, 40 ml, Limonka, cwierc sztuki, Cola, do dopelnienia, Lod,,,,,,,,,, Do szklanki z lodem wyciskam limonke. Dodaje rum i dopelniam cola... mozna udekorowac kolejna cwiartka limonki.,
drink, B-52, b_52, Likier kahlua, 10 ml, Likier baileys, 10 ml ,Likier triple sec, 10 ml,,,,,,,,,,, Skladniki po kolei wlewam do kieliszka - najpierw Kahlue... w drugiej kolejnosci delikatnie... po odwroconej lyzce Baileys... a na koniec triple sec.,
shot, Smoke On The Water, smoke_on_the_water, Syrop karmelowy, jedna trzecia kieliszka, Likier truskawkowy, dwie trzecie kieliszka ,,,,,,,,,,,,,Skladniki wlewamy w podanej kolejnosci do kieliszkow... delikatnie... po lyzce... zeby utworzyly sie warstwy.,
drink, Blue Kamikaze, blue_kamikaze, wodka, 40 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Lod,,,,,,,,,, Wszystkie skladniki wstrzasem w shakerze z lodem. Przecedzam do trzech kieliszkow po 40 ml lub czterech po 3.,
shot, Nevermind, nevermind, Blue curacao, po 5 ml, Likier kahlua, 50 ml, Likier cointreau, 30 ml,,,,,,,,,,,Do kieliszkow wlewamy syrop. Likiery Kahlua i Cointreau wstrzasamy w shakerze i przelewamy do kieliszkow delikatnie... zeby utworzyla sie druga warstw.,
shot, Milosc Szmaragd I Krokodyl, milosc_szmaragd_i_krokodyl, Syrop pistacjowy, jedna czwarta, Likier czekoladowo-mietowy, dwie czwarte, Mleczko skondensowane nieslodzone, jedna czwarta ,,,,,,,,,,,Skladniki wlewamy w podanej kolejnosci do kieliszkow... delikatnie... po lyzce... zeby utworzyly sie warstwy.,
shot, Maskarada, maskarada, Syrop jagodowy, jedna czwarta, Likier truskawkowy, dwie czwarte, Mleczko skondensowane nieslodzone, jedo czwarte,,,,,,,,,,,Skladniki wlewamy w podanej kolejnosci do kieliszkow... delikatnie... po lyzce... zeby utworzyly sie warstwy.,
shot, Antidotum, antidotum, Syrop czekoladowy, 5 ml do kazdego kieliszka, Wodka orzechowa, 50 ml, Likier czekoladowy, 50 ml, Mleczko skondensowane nieslodzone, po 5 ml do kazdego kieliszka,,,,,,,,, Na dno kieliszkow wlewamy syrop. Wodke i likier wstrzasamy w shakerze i przelewamy ostroznie do kieliszkow - powinna sie otworzyc druga warstwa. Na wierzch delikatnie wlewamy mleczko.,
shot, Poker Face, poker_face, Likier kahlua, 50 ml, Malibu, 20 ml, Mleczko skondensowane nieslodzone, po 5 ml do kazdego kieliszka,,,,,,,,,,, Likier kawowy Kahlua i Malibu wstrzasamy w shakerze i przelewamy do kieliszkow. Na wierzch wlewamy delikatnie mleczko skondensowane.,
shot, Toxic, toxic, Syrop brzoskwiniowy, jedna trzecia, Likier pomaranczowy, jedna trzecia, Wodka zurawinowa, jedna trzecia,,,,,,,,,,, Skladniki wlewamy w podanej kolejnosci do kieliszkow... delikatnie... po lyzce... zeby utworzyly sie warstwy.,
shot, Under Pressure, under_pressure, Syrop jagodowy, jedna czwarta, Likier kokosowy , trzy czwarte,,,,,,,,,,,,, Skladniki wlewamy w podanej kolejnosci do kieliszkow... delikatnie... po lyzce... zeby utworzyly sie warstwy.,
shot, Lady Dynamite, lady_dynamite, Rum, 50 ml, Sok z mango, 70 ml, Blue curacao, po kilka kropli do kazdego kieliszka,,,,,,,,,,, Rum i sok z mango wstrzasem w shakerze. Przelewam do kieliszkow... dodaje kilka kropli syropu blue curacao do kazdego kieliszk.,
shot, Pina Colada XS, pina_colada_xs, Syrop ananasowy, jedna trzecia, Likier kokosowy, dwie trzecie,,,,,,,,,,,,, Do kieliszka wlewamy syrop... a nastepnie delikatnie wlewamy likier kokosowy... zeby utworzyc druga warstwe.,
shot, Wsciekly Pies, wsciekly_pies_shoty, Syrop malinowy, 10 ml, Wodka, 20 ml, Tabasco, kilka kropli,,,,,,,,,,, Do kieliszka wlewamy syrop... nastepnie delikatnie wlewamy wodke... zeby utworzyc druga warstwe. Dodajemy kilka kropli tabasco.,
shot, Welcome To The Jungle, welcome_to_the_jungle, Syrop truskawkowy, jedna trzecia, Likier melonowy, dwie trzecie,,,,,,,,,,,,, Skladniki wlewamy w podanej kolejnosci do kieliszkow... delikatnie po lyzce... zeby utworzyly sie warstwy.,
shot, Wsciekla Papuga, wsciekla_papuga, Syrop ananasowy, 10 ml, Wodka, 20 ml, Tabascko, kilka kropli,,,,,,,,,,, Do kieliszkow wlewamy syrop... nastepnie delikatnie... po lyzce... wlewamy wod ke. Dodajemy kilka kropli tabasco. Wskazowka: sprobuj kombinacji tego drinka z innymi syropami i znajdz ulubione polaczenie.,
shot, Bandyta, bandyta, Syrop czekoladowy, jedna trzecia, Likier bananowy, dwie trzecie,,,,,,,,,,,,, Do kieliszkow wlewamy syrop... a nastepnie delikatnie... po lyzce... wlewa my likier... ktory utworzy druga warstwe.,
shot, Alien Brain Hemorrhage,  alien_brain_herrhage, Likier brzoskwiniowy, jedna druga, Likier baileys, jedna czwarta, Blue curacao, kilka kropli, Grenadyna, kilka gropli,,,,,,,,," Do kieliszka wlewamy ""po kolei skladniki w podanej kolejnosci. Tym razem szybkosc nie jest wazna... nie bedzie tu warstw. Efekt taki jak na zdjeciu uzyskamy bez uzycia lyzki... po prostu wlewajac poszczegolne skladniki.",
shot, Animusz, animusz, Wodka gruszkowa, 50 ml, Sok pomaranczowy, 50 ml, Syrop czekoladowy, po 5 ml do kazdego kieliszka, krem czekoladowy, do dekoracji,,,,,,,,, Brzegi kieliszkow maczamy w kremie czekoladowym... zeby zrobic obwodke. Do kieliszkow wlewamy syrop czekoladowy. Pozostale skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, No Way Out, no_way_out, Syrop mango, jedna trzecia, Likier kahlua, jedna trzecia, Likier Baileys, jedna trzecia,,,,,,,,,,, Skladniki w podanej kolejnosci wlewamy do kieliszkow. Mozna uzyc nalewakow oraz lyzeczki... zeby wlewac alkohole powoli — to ulatwi stworzenie warstw.,
shot, I Will Wait, i_will_wait, Grenadyna, jedna trzecia, Likier archers, jedna trzecia, Wodka, jedna szosta, Sok zurawinowy, jedna szosta,,,,,,,,, Do kieliszkow wlewamy syrop grenadyna. Nastepnie delikatnie... po lyzce wlewamy likier Archers... zeby utworzyc druga warstwe. Wodke z sokiem zurawinowym wstrzasamy w shakerze. Przelewamy delikatnie do kieliszkow utworzy sie trzecia warstw.,
shot, Malpi Mozg, malpi_mozg, Likier archers, jedna druga, Likier baileys, jedna drga, Grenadyna, kilka kropli,,,,,,,,,,, Do kieliszka wlewamy Archers... a nastepnie delikatnie wlewamy Baileys... ktory utworzy druga warstwe. Na koniec dodajemy kilka kropli grenadyny. Najlatwiej zrobic to za pomoca slomki — palcem zatykam slomke z jednej strony... a z drugiej zanurzam ja w syr0pie... a nastepnie przenosze nad kieliszek i „odtykam” slomke.,
shot, After The Storm, after_the_storm, Wodka, 70 ml, Sok bananowy, 50 ml, Blue curacao, kilka kropli,,,,,,,,,,, Sok bananowy wstrzasamy z wodka w shakerze. Przelewamy do kieliszkow. Na koniec do kazdego dodajemy po kilka kropli syropu blue curacao.,
shot, Awake My Soul, awake_my_soul, Syrop pistacjowy, jedna trzecia, Likier baileys, dwie trzecie,,,,,,,,,,,,, Skladniki wlewamy w podanej kolejnosci do kieliszkow... delikatnie... po lyzce... zeby utworzyly sie warstwy.,
shot, Snake Eyes, snake_eyes, Zubrowka, 50 ml, Sok ananasowy, 70 ml, Blue curacao, jedna czwarta,,,,,,,,,,, Na dno kieliszkow wlewamy syrop. zubrowke mieszamy z sokiem ananasowym... przelewamy do kieliszkow delikatnie... zeby utworzyc warstwe.,
shot, Twoja Generacja, twoja_generacja, Blue curacao, jedna czwarta, Likier pomaranczowy,trzy czwarte,,,,,,,,,,,,, Skladniki wlewamy w podanej kolejnosci do kieliszkow... delikatnie... po lyzce... zeby utworzyly siewarstwy.,
shot, Imagination, imagination, Syrop pomaranczowy, jedna trzecia, Likier melonowy, dwie trzecie,,,,,,,,,,,,, Skladniki wlewamy w podanej kolejnosci do kieliszkow... delikatnie... po lyzce... zeby utworzyly sie warstwy.,
shot, Mad Love, mad_love, Blue curacao, jedna trzecia, Likier korzenno-miodowy Krupnik, dwie trzecie, Blue curacao, do dekoracji, Imbir mielony, do dekoracji,,,,,,,,, Brzegi kieliszka dekorujemy syropem blue curacao i imbirem. Na dno wlewamy syrop... a na wierzch delikatnie likier Krupnik... ktory utworzy druga warstwe.,
shot, Zanim Pojde, zanim_pojde, Likier amaretto, 20 ml, Rum, 50 ml, Sok z mango, 70 ml, Syrop czekoladowy, 5 ml,,,,,,,,,Do kieliszkow wlewamy po ok. 5 ml syropu czekoladowego. Wszystkie pozostale skladniki wstrzasamy w shakerze i przelewamy do kieliszkow delikatnie... zeby utworzyc druga warstwe.,
shot, Wodospad, wodospad, Blue curacao, jedna trzecia, wodka, dwie trzecie, Sok z cytryny, kilka kropli,,,,,,,,,,, Do kieliszkow wlewamy najpierw syrop... a potem delikatnie wodke. Na zakonczenie dodajemy po kilka kropli soku z cytryny do kazdego kieliszk.,
shot, Ruletka, ruletka, Syrop czekoladowy, 5 ml, Likier kokosowy, 30 ml, Syrop czekoladowy , do dekoracji, Mielona czekolada, do dekoracji,,,,,,,,,Brzeg kieliszka dekorujemy syropem i czekolada. Na dno wlewamy syrop czekoladowy... a potem delikatnie likier kokosowy.,
shot, Czwarta Nad Ranem, czwarta_nad_ranem, Wodka, 50 ml, Sok z mango, 100 ml, Grenadyna, kilka kropli,,,,,,,,,,,Dwa pierwsze skladniki wstrzasamy w shakerze i przelewamy do kieliszkow. Do kazdego dodajemy po kilka kropli syropu.,
shot, Chmurka, chmurka, Wodka, jedna druga, Likier archers, jedna druga, Skondensowane mleczko nieslodzone, kilka kropli,,,,,,,,,,, Do kieliszka wlewamy Archers... a nastepnie delikatnie wlewamy wodke... by utworzyla gorna warstwe. Za pomoca slomki nabieramy troche mleka skondensowanego... ktore nastepnie wlewamy do kieliszka. Mleko tworzy srodkowa warstwe... przypominajaca chmurke.,
shot, Bumelant, bumelant, Likier kahlua, 50 ml, Likier cointreau, 50 ml, Mleczko skondensowane nieslodzone, 50 ml,,,,,,,,,,,  Wszystkie skladniki wstrzasa my w shakerze. Przelewamy do kieliszkow.,
shot, Guilty, guilty, Rum, 50 ml, Sok wisniowy, 100 ml, Syrop czekoladowy, 5 ml, Kakao, do dekoracji, Czerwony syrop, do dekoracji,,,,,,, Na brzegu kieliszkow przygotowujemy cruste z kakao i syropu. Do kazdego kieliszka wlewamy syrop czekoladowy. Pozostale dwa skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Freeze Me, freeze_me, Gin, 50 ml, Sok z czarnej porzeczki, 70 ml, Sok z cytryny, 30 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Undercover, undercover, Gin, 50 ml, Sok kaktusowy, 100 ml, Sok z cytryny, 20 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Anywhere, anywhere, Tequila silver, 50 ml, Sok z granatu, 100 ml, Grenadyna, 10 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Stolen Dance, stolen_dance, Likier czekoladowy, 50 ml, Likier amaretto, 20 ml, Mleczko skondensowane nieslodzone, 50 ml, Syrop czekoladowy i kakao, do dekoracji,,,,,,,,, Brzegi kieliszkow dekorujemy syropem czekoladowym i kakao. Wszystkie skladniki shotow wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Crazyhead, crazyhead, Likier pomaranczowy, 70 ml, Likier archers, 50 ml, Mleczko skondensowane nieslodzone, 50 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Wonderland, wonderland, Wodka pomaranczowa, 50 ml, Sok kaktusowy, 70 ml, Blue curacao, 10 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Flaming, flaming, Likier truskawkowy, 50 ml, Malibu, 30 ml, Mleczko skondensowane nieslodzone, 50 ml, Czerwony syrop, do dekoracji, Wiorki kokosowe, do dekoracji,,,,,,,Brzegi kieliszkow dekoruje crusta z syropu i wiorkow kokosowych. Wszystkie skladniki mieszam w shakerze. Przelewam do kieliszkow.,
shot, Orzech & Orzech, orzech_and_orzech, Syrop orzechowy, 5 ml, Likier czekoladowy, jedna druga, Wodka orzechowa, jedna druga,,,,,,,,,,,Na dno kieliszka wlewamy syrop orzechowy. Likier oraz wodke mieszamy w shakerze... a nastepnie delikatnie... po lyzce... wlewamy do kieliszka... zeby utworzyla sie druga warstwa.,
shot, Little Lion, little_lion, Syrop czekoladowy, 5 ml, Sok pomaranczowy, 30 ml, Wodka, 70 ml, Sok z cytryny, 5 ml,,,,,,,,, Do kieliszkow wlewamy syrop czekoladowy. Pozostale skladniki wstrzasamy w shakerze i przelewamy delikatnie do kieliszkow z syropem na dnie.,
shot, B-52, b_52_shoty, Likier kahlua, jedna trzecia ,Likier baileys, jedna trzecia ,Likier cointreau, jedna trzecia ,,,,,,,,,,, Do kieliszka wlac likier Kahlua. Nastepnie delikatnie po lyzce wlac Baileys... tak... zeby oba likiery sie nie zmieszaly. W ten sam sposob wlac Cointreau. Shot mozna podpalic i wypic plonacy w zapalony drink wkladamy slomke i od razu wypijamy... zanim zgasnie.,
shot, Marcelo, marcelo, Blue curacao, jedna czwarta, Likier mietowy, dwie czwarte, Wodka pomaranczowa, jedna czwarta,,,,,,,,,,, Skladniki wlewamy do kieliszka w podanej kolejnosci... przy drugim i trzecim najlepiej korzystac z nalewaka i wlewac alkohole delikatnie po lyzce... zeby latwiej bylo utworzyc warstwy.,
shot, Winter Winds, winter_winds, Malibu, 50 ml, Sok bananowy, 50 ml, Syrop czekoladowy, 50 ml,,,,,,,,,,,Do kieliszkow wlewamy syrop czekoladowy. Malibu z sokiem bananowym wstrzasamy w shakerze. Przelewamy ostroznie do kieliszkow z syropem... tak zeby utworzyla sie druga warstw.,
shot, After Eight, after_eight, Syrop czekoladowy, jedna czwarta, Likier mietowy, jedna druga, Mleczko skondensowane nieslodzone, jedna czwarta,,,,,,,,,,, Zaczynam od wlania do kieliszka syropu czekoladowego. Nastepnie druga warstwa likier mietowy... a na koniec lyzeczka wlewam mleczko skondensowane.,
shot, O-Cookie Shot, o_cookie_shot,Syrop czekoladowy, jedna trzecia, Bialy rum , jedna trzecia, Mleczko skondensowane nieslodzone, Syrop czekoladowy, do dekoracji, Starta czekolada, do dekoracji,,,,,,,, Brzegi kieliszkow dekorujemy syropem czekoladowym i czekolada. Na dno kieliszkow wlewamy syrop czekoladowy. Rum i mleczko wstrzasamy w shakerze i przelewamy delikatnie do kieliszkow... mozna pomoc sobie lyzeczka i nalewac po lyzeczce.,
shot, Palermo, palermo, Likier korzenno-miodowy, 50 ml, Sok z mango, 100 ml, Sok z cytryny, do dekoracji, Cukier, do doekoracji,,,,,,,,, Na brzegu kieliszkow robimy cruste z soku z cytryny i cukru. Pozostale skladniki wstrzasamy w shakerze i przelewamydo kieliszkow.,
shot, BCC, bcc, Blue curacao, 5 ml, Wodka cytrynowa, 25 ml,,,,,,,,,,,,, Do kieliszka wlewamy na dno syrop blue curacao. Na wierzch delikatnie... po lyzce... wlewamy wodke cytrynow.,
shot, Tacoma, tacoma, Wodka gruszkowa, 50 ml, Sok wisniowy, 70 ml, Sok z cytryny, 20 ml,,,,,,,,,,, Wszystkie sklad niki wstrzasa my w shakerze. Przelewa my do kieliszkow.,
shot Pasadena, pasadena, Wodka pomaranczowa, 70 ml, Sok ananasowy, 50 ml, Sok z mango, 100 ml,,,,,,,,,,,,  Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Charlotte, charlotte, Likier korzenno-miodowy, 50 ml, Likier kahlua, 50 ml, Mleczko skondensowane nieslodzone, 50 ml, Krem czekoladowy, do dekoracji,,,,,,,,, Brzeg kieliszka obtaczamy w kremie czekoladowym. Wszystkie skladniki shota wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Talizman, talizman, Zubrowka, 50 ml, Malibu, 30 ml, Sok z mango, 70 ml, Sok z cytryny, 10 ml, Syrop mango, do dekoracji, Kakao, do dekoracji,,,,, Na brzegu kieliszka robimy cruste z syropu i kakao. Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Fargo, fargo, Blue curacao, 20 ml, Likier korzenno-miodowy, 50 ml, Sok jablkowy, 100 ml,,,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Pueblo, pueblo, Wodka pomaranczowa, 50 ml, Sok pomaranczowy, 50 ml, Sok ananasowy, 50 ml, Syrop mango, 20 ml,,,,,,,,, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Radioactive, radioactive, Likier cointreau, 100 ml, Mleczko skondensowane nieslodzone, 50 ml,Blue curacao, 20 ml,,,,,,,,,,,  Wszystkie sklad niki wstrzasa my w shakerze. Przelewa my do kieliszkow.,
shot, No Roots, no_roots, Wodka orzech laskowy, 50 ml, Likier czekoladowy, 20 ml, Mleczko skondensowane nieslodzone, 30 ml, Syrop czekoladowe i zmielone orzechy, do dekoracji,,,,,,,,,Na brzegu kieliszka robimy cruste z syropu i orzechow. Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.,
shot, Alimos, alimos, Tequila silver, 30 ml, Blue curacao, 40 ml, Sok bananowy, 50 ml, Sok ananasowy, 50 ml,,,,,,,,, Wszystkie skladniki wstrzasa my w shakerze. Przelewa my do kieliszkow.,
