shot, Palermo, palermo, Likier korzenno-miodowy, 50 ml, Sok z mango, 100 ml, Sok z cytryny, do dekoracji, Cukier, do doekoracji, start, Na brzegu kieliszkow robimy cruste z soku z cytryny i cukru. Pozostale skladniki wstrzasamy w shakerze i przelewamydo kieliszkow.
shot, Tacoma, tacoma, Wodka gruszkowa, 50 ml, Sok wisniowy, 70 ml, Sok z cytryny, 20 ml, start, Wszystkie sklad niki wstrzasa my w shakerze. Przelewa my do kieliszkow.
shot Pasadena, pasadena, Wodka pomaranczowa, 70 ml, Sok ananasowy, 50 ml, Sok z mango, 100 ml, start,  Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Charlotte, charlotte, Likier korzenno-miodowy, 50 ml, Likier kahlua, 50 ml, Mleczko skondensowane nieslodzone, 50 ml, Krem czekoladowy, do dekoracji, start, Brzeg kieliszka obtaczamy w kremie czekoladowym. Wszystkie skladniki shota wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Talizman, talizman, Zubrowka, 50 ml, Malibu, 30 ml, Sok z mango, 70 ml, Sok z cytryny, 10 ml, Syrop mango, do dekoracji, Kakao, do dekoracji, start, Na brzegu kieliszka robimy cruste z syropu i kakao. Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Fargo, fargo, Blue curacao, 20 ml, Likier korzenno-miodowy, 50 ml, Sok jablkowy, 100 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Pueblo, pueblo, Wodka pomaranczowa, 50 ml, Sok pomaranczowy, 50 ml, Sok ananasowy, 50 ml, Syrop mango, 20 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Radioactive, radioactive, Likier cointreau, 100 ml, Mleczko skondensowane nieslodzone, 50 ml,Blue curacao, 20 ml, start,  Wszystkie sklad niki wstrzasa my w shakerze. Przelewa my do kieliszkow.
shot, No Roots, no_roots, Wodka orzech laskowy, 50 ml, Likier czekoladowy, 20 ml, Mleczko skondensowane nieslodzone, 30 ml, Syrop czekoladowe i zmielone orzechy, do dekoracji, start,Na brzegu kieliszka robimy cruste z syropu i orzechow. Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Alimos, alimos, Tequila silver, 30 ml, Blue curacao, 40 ml, Sok bananowy, 50 ml, Sok ananasowy, 50 ml, start, Wszystkie skladniki wstrzasa my w shakerze. Przelewa my do kieliszkow.
shot, In My Blood, in_my_blood, Wodka grejfrutowa, 50 ml, Sok zurawinowy, 70 ml, Grenadyna, 10 ml, Sok z cytryny, 10 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Arezzo, arezzo, Likier kahlua, 50 ml, Mleczko skondensowane nieslodzone, 50 ml, Syrop korzenny, 10 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Flames, flames, Likier cointreau, 50 ml, Likier amaretto, 20 ml, Sok wisniowy, 80 ml, Sok z cytryny, 10 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Belluno, belluno, Malibu, 50 ml, Sok z granatu, 50 ml, Sok pomaranczowy, 50 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Como, como, Tequila silver, 50 ml, Blue curacao, 30 ml, Sok pomaranczowy, 100 ml, start, Wszystkie skladniki wstrzasamy w shakerze. Przelewamy do kieliszkow.
shot, One Kiss, one_kiss, Wodka malinowa, 50 ml, Rum, 50 ml, Sok z granatu, 50 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
