shot, Smoke On The Water, smoke_on_the_water, Syrop karmelowy, jedna trzecia kieliszka, Likier truskawkowy, dwie trzecie kieliszka ,start,Skladniki wlewamy w podanej kolejnosci do kieliszkow, delikatnie, po lyzce, zeby utworzyly sie warstwy.
shot, Nevermind, nevermind, Blue curacao, po 5 ml, Likier kahlua, 50 ml, Likier cointreau, 30 ml,start,Do kieliszkow wlewamy syrop. Likiery Kahlua i Cointreau wstrzasamy w shakerze i przelewamy do kieliszkow delikatnie, zeby utworzyla sie druga warstwa.
shot, Milosc Szmaragd I Krokodyl, milosc_szmaragd_i_krokodyl, Syrop pistacjowy, jedna czwarta, Likier czekoladowo-mietowy, dwie czwarte, Mleczko skondensowane nieslodzone, jedna czwarta ,start,Skladniki wlewamy w podanej kolejnosci do kieliszkow, delikatnie, po lyzce, zeby utworzyly sie warstwy.
shot, Maskarada, maskarada, Syrop jagodowy, jedna czwarta, Likier truskawkowy, dwie czwarte, Mleczko skondensowane nieslodzone, jedo czwarte,start,Skladniki wlewamy w podanej kolejnosci do kieliszkow, delikatnie, po lyzce, zeby utworzyly sie warstwy.
shot, Antidotum, antidotum, Syrop czekoladowy, 5 ml do kazdego kieliszka, Wodka orzechowa, 50 ml, Likier czekoladowy, 50 ml, Mleczko skondensowane nieslodzone, po 5 ml do kazdego kieliszka,start, Na dno kieliszkow wlewamy syrop. Wodke i likier wstrzasamy w shakerze i przelewamy ostroznie do kieliszkow - powinna sie otworzyc druga warstwa. Na wierzch delikatnie wlewamy mleczko.
shot, Poker Face, poker_face, Likier kahlua, 50 ml, Malibu, 20 ml, Mleczko skondensowane nieslodzone, po 5 ml do kazdego kieliszka,start, Likier kawowy Kahlua i Malibu wstrzasamy w shakerze i przelewamy do kieliszkow. Na wierzch wlewamy delikatnie mleczko skondensowane.
shot, Toxic, toxic, Syrop brzoskwiniowy, jedna trzecia, Likier pomaranczowy, jedna trzecia, Wodka zurawinowa, jedna trzecia, start, Skladniki wlewamy w podanej kolejnosci do kieliszkow, delikatnie, po lyzce, zeby utworzyly sie warstwy.
shot, Under Pressure, under_pressure, Syrop jagodowy, jedna czwarta, Likier kokosowy , trzy czwarte, start, Skladniki wlewamy w podanej kolejnosci do kieliszkow, delikatnie, po lyzce, zeby utworzyly sie warstwy.
shot, Lady Dynamite, lady_dynamite, Rum, 50 ml, Sok z mango, 70 ml, Blue curacao, po kilka kropli do kazdego kieliszka, start, Rum i sok z mango wstrzasem w shakerze. Przelewam do kieliszkow, dodaje kilka kropli syropu blue curacao do kazdego kieliszka.
shot, Pina Colada XS, pina_colada_xs, Syrop ananasowy, jedna trzecia, Likier kokosowy, dwie trzecie, start, Do kieliszka wlewamy syrop, a nastepnie delikatnie wlewamy likier kokosowy, zeby utworzyc druga warstwe.
shot, Wsciekly Pies, wsciekly_pies_shot, Syrop malinowy, 10 ml, Wodka, 20 ml, Tabasco, kilka kropli, start, Do kieliszka wlewamy syrop, nastepnie delikatnie wlewamy wodke, zeby utworzyc druga warstwe. Dodajemy kilka kropli tabasco.
shot, Welcome To The Jungle, welcome_to_the_jungle, Syrop truskawkowy, jedna trzecia, Likier melonowy, dwie trzecie, start, Skladniki wlewamy w podanej kolejnosci do kieliszkow, delikatnie po lyzce, zeby utworzyly sie warstwy.
shot, Wsciekla Papuga, wsciekla_papuga, Syrop ananasowy, 10 ml, Wodka, 20 ml, Tabascko, kilka kropli, start, Do kieliszkow wlewamy syrop, nastepnie delikatnie, po lyzce, wlewamy wod ke. Dodajemy kilka kropli tabasco. Wskazowka: sprobuj kombinacji tego drinka z innymi syropami i znajdz ulubione polaczenie.
shot, Bandyta, bandyta, Syrop czekoladowy, jedna trzecia, Likier bananowy, dwie trzecie, start, Do kieliszkow wlewamy syrop, a nastepnie delikatnie, po lyzce, wlewa my likier, ktory utworzy druga warstwe.
shot, Animusz, animusz, Wodka gruszkowa, 50 ml, Sok pomaranczowy, 50 ml, Syrop czekoladowy, po 5 ml do kazdego kieliszka, krem czekoladowy, do dekoracji, start, Brzegi kieliszkow maczamy w kremie czekoladowym, zeby zrobic obwodke. Do kieliszkow wlewamy syrop czekoladowy. Pozostale skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
