shot, Monte, monte, Wodka o smaku orzechow laskowych, jedna druga, Mleczko skondensowane nieslodzone, jedna druga, Syrop orzechowy i starta czekolada, do dekoracji, start, Wodke i mleczko wstrzasamy w shakerze. Kieliszki dekorujemy crusta z syropu i czekolady. Wlewamy do nich zawartosc shakera.
shot, Ananasowe Kamikaze, ananasowe_kamikaze, Wodka ananasowa, 40 ml, Blue curacao, 40 ml, Sok z cytryny, 40 ml, Lod, start, Wszystkie skladniki wstrzasa my w shakerze. Przelewa my do kieliszkow.
shot, Conga, conga, Wodka porzeczkowa, 50 ml, Gin, 50 ml, Sok z cytryny, 10 ml, Sok pomaranczowy, 40 ml, Lod, start, Wszystkie skladniki umieszczamy w shakerze z lodem, wstrzasamy i przelewamy do kieliszkow.
shot, Bones Of Love, bones_of_love, Wodka ananasowa, 40 ml, Malibu, 20 ml, Sok ananasowy, 60 ml, Lod, start, Wszystkie skladniki umieszczamy w shakerze z kostkami lodu, wstrzasamy, nastepnie przelewamy do kieliszkow.
shot, Tiramisu, tiramisu, Likier kahlua, 80 ml, Likier baileys, 40 ml, Mleczko skondensowane nieslodzone, 40 ml, Likier migdalowy, 10 ml, Syrop migdalowy i zmielona kawa, do dekoracji, start, Na brzegu kieliszkow robimy cruste z syropu i kawy. Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Bamboleo, bamboleo, Wodka, 50 ml, Blue curacao, 30 ml, Sok pomaranczowy, 50 ml, Sok z cytryny, 10 ml, Blue curacao, kilka kropli, Lod, start, Wszystkie skladniki oprocz syropu wstrzasamy z kostkami lodu w shakerze. Przelewamy do kieliszkow, dodajemy syrop do kazdego kieliszka (wystarczy kilka kropli).
shot, Hold The Line, hold_the_line, Wodka truskawkowa, 50 ml, Wodka pomaranczowa, 50 ml, Sok pomaranczowy, 50 ml, Sok z cytryny, 10 ml, Lod, Sos truskawkowy i kakao, do dekoracji, start, Brzegi kieliszkow dekorujemy sosem i ciemnym kakao. Skladniki shota wstrzasamy z kostkami lodu w shakerze. Przecedzamy do kieliszkow.
shot, Take It Easy, take_it_easy, Wodka sliwkowa, 50 ml, Wodka, 50 ml, Sok z cytryny, 50 ml, Grenadyna, 20 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Rabiosa, rabiosa, Wodka, 50 ml, Likier mietowy, 50 ml, Sok z cytryny, 50 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Endless Summer, endless_summer, Wodka truskawkowa, 50 ml, Sok z cytryny, 40 ml, Sok bananowy, 70 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Paper Planes, paper_planes, Malibu, 50 ml, Blue curacao, 20 ml, Sok ananasowy, 80 ml, Sok z cytryny, 20 ml, Lod, start, Wszystkie skladniki umieszcza my w shakerze z kostkami lodu, wstrzasamy, nastepnie przelewamy do kieliszkow.
shot, Bang A Drum, bang_a_drum, Wodka ananasowa, 50 ml, Malibu, 50 ml, Likier cointreau, 50 ml, Sok bananowy, 30 ml, start, Wszystkie skladniki wstrzasamy w shakerze, przelewamy do kieliszkow.
shot, Dead Or Alive, dead_or_alive, Wodka truskawkowa, 50 ml, Malibu, 20 ml, Sok zurawinowy, 50 ml, Sok z cytryny, 20 ml, Lod, start, Wszystkie skladniki wstrzasamy w shakerze z kostkami lodu, przecedzamy do kieliszkow. Jesli uzywamy naturalnego, kwasnego soku zurawinowego, a nie nektaru, mozna pominac sokz cytryny.
shot, One More Song, one_more_song, Wodka porzeczkowa, 50 ml, Tequila silver, 50 ml, Sok z cytryny, 50 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Shake It, shake_it, Wodka cytrynowa, 50 ml, Blue curacao, 10 ml, Sok pomaranczowy, 50 ml, Sok bananowy, 30 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
shot, Acapulco, acapulco, Likier czekoladowy, 50 ml, Likier kahlua, 50 ml, Sok bananowy, 50 ml, start, Wszystkie skladniki wstrzasamy w shakerze i przelewamy do kieliszkow.
